Grupos,Confirmados,Mortes,Letalidade
80+,321,120,"37,38317757"
70-79,504,127,"25,1984127"
60-69,836,151,"18,06220096"
50-59,1040,80,"7,692307692"
40-49,1484,58,"3,908355795"
30-39,1534,25,"1,629726206"
20-29,818,12,"1,466992665"
10-19,103,4,"3,883495146"
0-9,98,1,"1,020408163"
total,6738,578,"8,57821312"
